Id. ,ESRS,Exigence de publication (DR),Description de l'exigence de publication ,Paragraphe,Related AR,Nom,Question ,Précision des informations qualitatives,Type de données,DP conditionnel ou alternatif
S1-1-24d,S1,S1-1,Politiques liées aux effectifs de l'entreprise,24d,,"Déclaration indiquant si et comment les politiques sont mises en œuvre par le biais de procédures spécifiques pour garantir que la discrimination est prévenue, atténuée et traitée une fois détectée, ainsi que pour promouvoir la diversité et l'inclusion","Vos politiques sont-elles mises en œuvre par le biais de procédures spécifiques pour garantir que la discrimination est prévenue, atténuée et traitée une fois détectée, ainsi que pour promouvoir la diversité et l'inclusion ? Si oui, comment ?",,narratif,
S1-1-AR14,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 14,,"Divulgation d'une illustration des types de communication de ses politiques aux individus, groupes d'individus ou entités pour lesquels elles sont pertinentes","Pouvez-vous fournir une illustration des types de communication de vos politiques aux individus, groupes d'individus ou entités pour lesquels elles sont pertinentes ?",,narratif,
S1-1-AR17a,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 17 a),,"Politiques et procédures qui font des qualifications, compétences et expériences la base du recrutement, du placement, de la formation et de l'avancement sont en place ou prévues","Avez-vous ou prévoyez-vous des politiques et procédures qui font des qualifications, compétences et expériences la base du recrutement, du placement, de la formation et de l'avancement ?",,semi-narratif,
S1-1-AR17b,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 17 b),,"Responsabilité attribuée ou planifiée au niveau de la haute direction pour l'égalité de traitement et des opportunités en matière d'emploi, établir des politiques et procédures claires à l'échelle de l'entreprise pour guider les pratiques d'emploi équitables, et lier l'avancement à la performance souhaitée dans ce domaine","Avez-vous attribué ou prévoyez-vous d'attribuer la responsabilité au niveau de la haute direction pour l'égalité de traitement et des opportunités en matière d'emploi, établir des politiques et procédures claires à l'échelle de l'entreprise pour guider les pratiques d'emploi équitables, et lier l'avancement à la performance souhaitée dans ce domaine ?",,semi-narratif,
S1-1-AR17c,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 17 c),,Formation du personnel sur les politiques et pratiques de non-discrimination prévue ou en place,Avez-vous prévu ou mis en place une formation du personnel sur les politiques et pratiques de non-discrimination ?,,semi-narratif,
S1-1-AR17d,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 17 d),,"Ajustements de l'environnement physique pour garantir la santé et la sécurité des travailleurs, clients et autres visiteurs handicapés sont prévus ou en place","Avez-vous prévu ou mis en place des ajustements de l'environnement physique pour garantir la santé et la sécurité des travailleurs, clients et autres visiteurs handicapés ?",,semi-narratif,
S1-1-AR17e,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 17 e),,Plans pour évaluer ou a évalué s'il existe un risque que les exigences du poste soient définies de manière à désavantager systématiquement certains groupes,Avez-vous des plans pour évaluer ou avez-vous évalué s'il existe un risque que les exigences du poste soient définies de manière à désavantager systématiquement certains groupes ?,,semi-narratif,
S1-1-AR17f,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 17 f),,"Prévoir de tenir ou tenir des registres à jour sur le recrutement, la formation et la promotion qui offrent une vue transparente des opportunités pour les employés et leur progression","Prévoyez-vous de tenir ou tenez-vous des registres à jour sur le recrutement, la formation et la promotion qui offrent une vue transparente des opportunités pour les employés et leur progression ?",,semi-narratif,
S1-1-AR17g,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 17 g),,"Mise en place ou prévision de mise en place de procédures de réclamation pour traiter les plaintes, gérer les appels et fournir un recours aux employés lorsqu'une discrimination est identifiée, et être attentif aux structures formelles et aux problèmes culturels informels qui peuvent empêcher les employés de soulever des préoccupations et des griefs","Avez-vous mis en place ou prévoyez-vous de mettre en place des procédures de réclamation pour traiter les plaintes, gérer les appels et fournir un recours aux employés lorsqu'une discrimination est identifiée, et êtes-vous attentif aux structures formelles et aux problèmes culturels informels qui peuvent empêcher les employés de soulever des préoccupations et des griefs ?",,semi-narratif,
S1-1-AR17h,S1,S1-1,Politiques liées aux effectifs de l'entreprise,AR 17 h),,Avoir ou prévoir des programmes pour promouvoir l'accès au développement des compétences,Avez-vous ou prévoyez-vous des programmes pour promouvoir l'accès au développement des compétences ?,,semi-narratif,
S1-2-27,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,27,"AR 21, AR 23-24",Divulgation indiquant si et comment les perspectives de sa propre main-d'œuvre informent les décisions ou les activités visant à gérer les impacts réels et potentiels,Comment les perspectives de votre propre main-d'œuvre informent-elles les décisions ou les activités visant à gérer les impacts réels et potentiels ?,,narratif,
S1-2-27a,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,27a,,Engagement avec sa propre main-d'œuvre ou leurs représentants,Comment se déroule l'engagement avec votre propre main-d'œuvre ou leurs représentants ?,,semi-narratif,Conditionnel
S1-2-27b,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,27b,AR 19,"Divulgation du stade auquel l'engagement a lieu, du type d'engagement et de la fréquence de l'engagement","À quel stade l'engagement a-t-il lieu, quel est le type d'engagement et quelle est la fréquence de l'engagement ?",,narratif,Conditionnel
S1-2-27c,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,27c,AR 18-19,Divulgation de la fonction et du rôle le plus élevé au sein de l'entreprise ayant la responsabilité opérationnelle de garantir que l'engagement se produit et que les résultats informent l'approche de l'entreprise,Quelle est la fonction et le rôle le plus élevé au sein de l'entreprise ayant la responsabilité opérationnelle de garantir que l'engagement se produit et que les résultats informent l'approche de l'entreprise ?,,narratif,Conditionnel
S1-2-27d,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,27d,AR 20,Divulgation d'un accord-cadre mondial ou d'autres accords relatifs au respect des droits de l'homme des travailleurs,Avez-vous un accord-cadre mondial ou d'autres accords relatifs au respect des droits de l'homme des travailleurs ?,,narratif,Conditionnel
S1-2-27e,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,27e,,Divulgation de la manière dont l'efficacité de l'engagement avec sa propre main-d'œuvre est évaluée,Comment évaluez-vous l'efficacité de l'engagement avec votre propre main-d'œuvre ?,,narratif,Conditionnel
S1-2-28,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,28,,Divulgation des mesures prises pour obtenir des perspectives des personnes dans sa propre main-d'œuvre qui peuvent être particulièrement vulnérables aux impacts et (ou) marginalisées,Quelles mesures avez-vous prises pour obtenir des perspectives des personnes dans votre propre main-d'œuvre qui peuvent être particulièrement vulnérables aux impacts et (ou) marginalisées ?,,narratif,Conditionnel
S1-2-29-1,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,29,,Déclaration en cas où l'entreprise n'a pas adopté de processus général pour s'engager avec sa propre main-d'œuvre,Quelle déclaration pouvez-vous faire en cas où l'entreprise n'a pas adopté de processus général pour s'engager avec sa propre main-d'œuvre ?,,narratif,Conditionnel
S1-2-29-2,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,29,,Divulgation du calendrier d'adoption d'un processus général d'engagement avec sa propre main-d'œuvre en cas où l'entreprise n'a pas adopté de processus général d'engagement,Quel est le calendrier d'adoption d'un processus général d'engagement avec votre propre main-d'œuvre en cas où l'entreprise n'a pas adopté de processus général d'engagement ?,,narratif,Conditionnel
S1-2-AR25a,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,AR 25 a,,Divulgation de la manière dont l'entreprise s'engage avec les personnes à risque ou en situation de vulnérabilité,Comment l'entreprise s'engage-t-elle avec les personnes à risque ou en situation de vulnérabilité ?,,narratif,
S1-2-AR25b,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,AR 25 b,,Divulgation de la manière dont les obstacles potentiels à l'engagement avec les personnes de sa main-d'œuvre sont pris en compte,Comment les obstacles potentiels à l'engagement avec les personnes de votre main-d'œuvre sont-ils pris en compte ?,,narratif,
S1-2-AR25c,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,AR 25 c,,Divulgation de la manière dont les personnes de sa main-d'œuvre reçoivent des informations compréhensibles et accessibles par le biais de canaux de communication appropriés,Comment les personnes de votre main-d'œuvre reçoivent-elles des informations compréhensibles et accessibles par le biais de canaux de communication appropriés ?,,narratif,
S1-2-AR25d,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,AR 25 d,,Divulgation de tout conflit d'intérêts qui a surgi entre différents travailleurs et de la manière dont ces conflits d'intérêts ont été résolus,Quels conflits d'intérêts ont surgi entre différents travailleurs et comment ces conflits d'intérêts ont-ils été résolus ?,,narratif,
S1-2-AR25e,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,AR 25 e,,Divulgation de la manière dont l'entreprise cherche à respecter les droits de l'homme de toutes les parties prenantes engagées,Comment l'entreprise cherche-t-elle à respecter les droits de l'homme de toutes les parties prenantes engagées ?,,narratif,
S1-2-AR26,S1,S1-2,Processus d'interaction au sujet des incidences avec les effectifs de l'entreprise et leurs représentants,AR 26,,Informations sur l'efficacité des processus d'engagement avec sa propre main-d'œuvre au cours des périodes de reporting précédentes,Quelles informations pouvez-vous fournir sur l'efficacité des processus d'engagement avec votre propre main-d'œuvre au cours des périodes de reporting précédentes ?,,narratif,Conditionnel
S1-3-32a,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,32a,AR 27,Divulgation de l'approche générale et des processus pour fournir ou contribuer à un recours lorsque l'entreprise a causé ou contribué à un impact négatif matériel sur les personnes dans sa propre main-d'œuvre,Quelle est votre approche générale et quels sont les processus pour fournir ou contribuer à un recours lorsque l'entreprise a causé ou contribué à un impact négatif matériel sur les personnes dans votre propre main-d'œuvre ?,,narratif,
S1-3-32b,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,32b,AR 28,Divulgation des canaux spécifiques en place pour que sa propre main-d'œuvre puisse exprimer des préoccupations ou des besoins directement auprès de l'entreprise et les faire traiter,Quels canaux spécifiques avez-vous mis en place pour que votre propre main-d'œuvre puisse exprimer des préoccupations ou des besoins directement auprès de l'entreprise et les faire traiter ?,,narratif,
S1-3-AR29,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,AR 29,,Les mécanismes tiers sont accessibles à toute sa propre main-d'œuvre,Les mécanismes tiers sont-ils accessibles à toute votre propre main-d'œuvre ?,,semi-narratif,
S1-3-AR30,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,AR 30,,Divulgation de la manière dont sa propre main-d'œuvre et leurs représentants peuvent accéder aux canaux au niveau de l'entreprise pour laquelle ils sont employés ou contractés,Comment votre propre main-d'œuvre et leurs représentants peuvent-ils accéder aux canaux au niveau de l'entreprise pour laquelle ils sont employés ou contractés ?,,narratif,
S1-3-32c,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,32c,,Des mécanismes de traitement des réclamations ou des plaintes liées aux questions des employés existent,Des mécanismes de traitement des réclamations ou des plaintes liées aux questions des employés existent-ils ?,,semi-narratif,
S1-3-32d,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,32d,,Divulgation des processus par lesquels l'entreprise soutient ou exige la disponibilité de canaux,Quels sont les processus par lesquels l'entreprise soutient ou exige la disponibilité de canaux ?,,narratif,
S1-3-32e,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,32e,AR 32,Divulgation de la manière dont les problèmes soulevés et traités sont suivis et surveillés et comment l'efficacité des canaux est assurée,Comment les problèmes soulevés et traités sont-ils suivis et surveillés et comment l'efficacité des canaux est-elle assurée ?,,narratif,
S1-3-33-1,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,33,AR 31,Divulgation indiquant si et comment il est évalué que sa propre main-d'œuvre est consciente et a confiance dans les structures ou processus comme moyen de soulever leurs préoccupations ou besoins et de les faire traiter,Comment évaluez-vous si votre propre main-d'œuvre est consciente et a confiance dans les structures ou processus comme moyen de soulever leurs préoccupations ou besoins et de les faire traiter ?,,narratif,
S1-3-33-2,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,33,,Politiques concernant la protection contre les représailles pour les individus qui utilisent des canaux pour exprimer des préoccupations ou des besoins sont en place,Avez-vous des politiques concernant la protection contre les représailles pour les individus qui utilisent des canaux pour exprimer des préoccupations ou des besoins ?,,semi-narratif,Conditionnel
S1-3-34-1,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,34,,Déclaration en cas où l'entreprise n'a pas adopté de canal pour exprimer des préoccupations,Quelle déclaration pouvez-vous faire en cas où l'entreprise n'a pas adopté de canal pour exprimer des préoccupations ?,,narratif,Conditionnel
S1-3-34-2,S1,S1-3,Procédures de réparation des incidences négatives et canaux permettant aux travailleurs de l'entreprise de faire part de leur préoccupations,34,,Divulgation du calendrier pour la mise en place d'un canal pour exprimer des préoccupations,Quel est le calendrier pour la mise en place d'un canal pour exprimer des préoccupations ?,,narratif,Conditionnel
S1-4-38a,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",38a,AR 42,"Description des actions entreprises, planifiées ou en cours pour prévenir ou atténuer les impacts négatifs sur sa propre main-d'œuvre","Quelles actions avez-vous entreprises, planifiées ou en cours pour prévenir ou atténuer les impacts négatifs sur votre propre main-d'œuvre ?",,narratif,
S1-4-38b,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",38b,,Divulgation indiquant si et comment des actions ont été entreprises pour fournir ou permettre un recours en relation avec un impact matériel réel,"Avez-vous entrepris des actions pour fournir ou permettre un recours en relation avec un impact matériel réel ? Si oui, comment ?",,narratif,
S1-4-38c,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",38c,AR 42,Description des initiatives ou actions supplémentaires ayant pour objectif principal de générer des impacts positifs pour sa propre main-d'œuvre,Quelles initiatives ou actions supplémentaires avez-vous mises en place ayant pour objectif principal de générer des impacts positifs pour votre propre main-d'œuvre ?,,narratif,
S1-4-38d,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",38d,AR 38-AR 39,Description de la manière dont l'efficacité des actions et initiatives visant à générer des résultats pour sa propre main-d'œuvre est suivie et évaluée,Comment suivez-vous et évaluez-vous l'efficacité des actions et initiatives visant à générer des résultats pour votre propre main-d'œuvre ?,,narratif,
S1-4-39,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",39,AR 34,Description du processus par lequel l'entreprise identifie les actions nécessaires et appropriées en réponse à un impact négatif réel ou potentiel sur sa propre main-d'œuvre,Quel est le processus par lequel vous identifiez les actions nécessaires et appropriées en réponse à un impact négatif réel ou potentiel sur votre propre main-d'œuvre ?,,narratif,
S1-4-40a,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",40a,"AR 44-45, AR 47",Description des actions planifiées ou en cours pour atténuer les risques matériels découlant des impacts et dépendances sur sa propre main-d'œuvre et comment l'efficacité est suivie,"Quelles actions planifiées ou en cours avez-vous pour atténuer les risques matériels découlant des impacts et dépendances sur votre propre main-d'œuvre, et comment en suivez-vous l'efficacité ?",,narratif,
S1-4-40b,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",40b,,Description des actions planifiées ou en cours pour poursuivre les opportunités matérielles en relation avec sa propre main-d'œuvre,Quelles actions planifiées ou en cours avez-vous pour poursuivre les opportunités matérielles en relation avec votre propre main-d'œuvre ?,,narratif,
S1-4-41,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",41,AR 37,Divulgation indiquant si et comment il est assuré que les pratiques de l'entreprise ne causent pas ou ne contribuent pas à des impacts négatifs matériels sur sa propre main-d'œuvre,Comment assurez-vous que vos pratiques ne causent pas ou ne contribuent pas à des impacts négatifs matériels sur votre propre main-d'œuvre ?,,narratif,
S1-4-43,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",43,,Divulgation des ressources allouées à la gestion des impacts matériels,Quelles ressources avez-vous allouées à la gestion des impacts matériels ?,,narratif,
S1-4-AR33a,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 33 a,,Divulgation des approches générales et spécifiques pour aborder les impacts négatifs matériels,Quelles sont vos approches générales et spécifiques pour aborder les impacts négatifs matériels ?,,narratif,
S1-4-AR33b,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 33 b,,Divulgation des initiatives visant à contribuer à des impacts positifs matériels supplémentaires,Quelles initiatives avez-vous mises en place pour contribuer à des impacts positifs matériels supplémentaires ?,,narratif,
S1-4-AR33c,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 33 c,,Divulgation de l'avancement des efforts de l'entreprise pendant la période de reporting,Quel est l'avancement de vos efforts pendant la période de reporting ?,,narratif,
S1-4-AR33d,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 33 d,,Divulgation des objectifs pour une amélioration continue,Quels sont vos objectifs pour une amélioration continue ?,,narratif,
S1-4-AR35,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 35,,Divulgation indiquant si et comment l'entreprise cherche à utiliser son influence avec les relations commerciales pertinentes pour gérer les impacts négatifs matériels affectant sa propre main-d'œuvre,Comment cherchez-vous à utiliser votre influence avec les relations commerciales pertinentes pour gérer les impacts négatifs matériels affectant votre propre main-d'œuvre ?,,narratif,
S1-4-AR36,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 36,,"Divulgation de la manière dont l'initiative, et son propre engagement, visent à aborder l'impact matériel concerné","Comment l'initiative, et votre propre engagement, visent-ils à aborder l'impact matériel concerné ?",,narratif,
S1-4-AR40a,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 40 a,,Divulgation indiquant si et comment les travailleurs et leurs représentants jouent un rôle dans les décisions concernant la conception et la mise en œuvre de programmes ou de processus dont l'objectif principal est de générer des impacts positifs pour les travailleurs,"Les travailleurs et leurs représentants jouent-ils un rôle dans les décisions concernant la conception et la mise en œuvre de programmes ou de processus dont l'objectif principal est de générer des impacts positifs pour les travailleurs ? Si oui, comment ?",,narratif,
S1-4-AR40b,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 40 b,,Informations sur les résultats positifs prévus ou atteints des programmes ou processus pour sa propre main-d'œuvre,Quelles informations pouvez-vous fournir sur les résultats positifs prévus ou atteints des programmes ou processus pour votre propre main-d'œuvre ?,,narratif,
S1-4-AR41,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 41,,Les initiatives ou processus dont l'objectif principal est de générer des impacts positifs pour sa propre main-d'œuvre sont également conçus pour soutenir la réalisation d'un ou plusieurs des Objectifs de Développement Durable,Vos initiatives ou processus dont l'objectif principal est de générer des impacts positifs pour votre propre main-d'œuvre sont-ils également conçus pour soutenir la réalisation d'un ou plusieurs des Objectifs de Développement Durable ?,,semi-narratif,
S1-4-AR43,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 43,,Informations sur les mesures prises pour atténuer les impacts négatifs sur les travailleurs résultant de la transition vers une économie plus verte et neutre en carbone,Quelles mesures avez-vous prises pour atténuer les impacts négatifs sur les travailleurs résultant de la transition vers une économie plus verte et neutre en carbone ?,,narratif,Conditionnel
S1-4-AR48,S1,S1-4,"Actions concernant les incidences importantes, approches visant à atténuer les risques importants et à saisir les opportunités importantes concernant les effectifs de l'entreprise, et efficacité de ces actions et approches",AR 48,,Description des fonctions internes impliquées dans la gestion des impacts et types d'actions entreprises par les fonctions internes pour aborder les impacts négatifs et promouvoir les impacts positifs,Quelles sont les fonctions internes impliquées dans la gestion des impacts et quels types d'actions ces fonctions internes entreprennent-elles pour aborder les impacts négatifs et promouvoir les impacts positifs ?,,narratif,
S1-5-47a,S1,S1-5,"Cibles liées à la gestion des incidences négatives importantes, à la promotion des incidences positives et à la gestion des risques et opportunités importants",47a,,Divulgation indiquant si et comment sa propre main-d'œuvre ou les représentants de la main-d'œuvre ont été directement engagés dans la définition des objectifs,Comment votre propre main-d'œuvre ou leurs représentants ont-ils été directement engagés dans la définition des objectifs ?,,narratif,
S1-5-47b,S1,S1-5,"Cibles liées à la gestion des incidences négatives importantes, à la promotion des incidences positives et à la gestion des risques et opportunités importants",47b,,Divulgation indiquant si et comment sa propre main-d'œuvre ou les représentants de la main-d'œuvre ont été directement engagés dans le suivi de la performance par rapport aux objectifs,Comment votre propre main-d'œuvre ou leurs représentants ont-ils été directement engagés dans le suivi de la performance par rapport aux objectifs ?,,narratif,
S1-5-47c,S1,S1-5,"Cibles liées à la gestion des incidences négatives importantes, à la promotion des incidences positives et à la gestion des risques et opportunités importants",47c,,Divulgation indiquant si et comment sa propre main-d'œuvre ou les représentants de la main-d'œuvre ont été directement engagés dans l'identification des leçons ou des améliorations à la suite de la performance de l'entreprise,Comment votre propre main-d'œuvre ou leurs représentants ont-ils été directement engagés dans l'identification des leçons ou des améliorations à la suite de la performance de l'entreprise ?,,narratif,
S1-5-AR49a,S1,S1-5,"Cibles liées à la gestion des incidences négatives importantes, à la promotion des incidences positives et à la gestion des risques et opportunités importants",AR 49 a,,Divulgation des résultats attendus à atteindre dans la vie des personnes de sa propre main-d'œuvre,Quels sont les résultats attendus à atteindre dans la vie des personnes de votre propre main-d'œuvre ?,,narratif,
S1-5-AR49b,S1,S1-5,"Cibles liées à la gestion des incidences négatives importantes, à la promotion des incidences positives et à la gestion des risques et opportunités importants",AR 49 b,,Informations sur la stabilité dans le temps de l'objectif en termes de définitions et de méthodologies pour permettre la comparabilité,Quelles informations pouvez-vous fournir sur la stabilité dans le temps des objectifs en termes de définitions et de méthodologies pour permettre la comparabilité ?,,semi-narratif,
S1-5-AR49c,S1,S1-5,"Cibles liées à la gestion des incidences négatives importantes, à la promotion des incidences positives et à la gestion des risques et opportunités importants",AR 49 c,,Divulgation des références aux normes ou engagements sur lesquels les objectifs sont basés,Quelles sont les références aux normes ou engagements sur lesquels les objectifs sont basés ?,,narratif,
S1-6-50d,S1,S1-6,Caractéristiques des salariés de l'entreprise,50d,AR 60,Description des méthodologies et hypothèses utilisées pour compiler les données (employés),Veuillez décrire les méthodologies et hypothèses utilisées pour compiler les données concernant les employés.,,narratif,
S1-6-50d(i),S1,S1-6,Caractéristiques des salariés de l'entreprise,50 d (i) ,,Les nombres d'employés sont rapportés en effectif ou en équivalent temps plein,Les nombres d'employés sont-ils rapportés en effectif ou en équivalent temps plein ?,,semi-narratif,
S1-6-50d(ii),S1,S1-6,Caractéristiques des salariés de l'entreprise,50 d (ii) ,,Les nombres d'employés sont rapportés à la fin de la période de reporting/moyenne/autre méthodologie,"Les nombres d'employés sont-ils rapportés à la fin de la période de reporting, en moyenne ou selon une autre méthodologie ?",,semi-narratif,
S1-6-50e,S1,S1-6,Caractéristiques des salariés de l'entreprise,50e,AR 58,Divulgation des informations contextuelles nécessaires pour comprendre les données (employés),Veuillez divulguer les informations contextuelles nécessaires pour comprendre les données concernant les employés.,,narratif,Conditionnel
S1-6-50f,S1,S1-6,Caractéristiques des salariés de l'entreprise,50f,,Divulgation de la référence croisée des informations rapportées sous le paragraphe 50 (a) au nombre le plus représentatif dans les états financiers,Veuillez fournir la référence croisée des informations rapportées sous le paragraphe 50 (a) au nombre le plus représentatif dans les états financiers.,,narratif,
S1-7-AR61,S1,S1-7,Caractéristiques des travailleurs non salariés faisant partie des effectifs de l'entreprise,AR 61,,L'entreprise n'a pas de non-employés dans sa propre main-d'œuvre,"Votre entreprise compte-t-elle uniquement des employés permanents, sans inclure de sous-traitants, travailleurs temporaires ou indépendants dans votre personnel ?",,semi-narratif,
S1-7-56,S1,S1-7,Caractéristiques des travailleurs non salariés faisant partie des effectifs de l'entreprise,56,AR 62,"Divulgation des types les plus courants de non-employés (par exemple, personnes indépendantes, personnes fournies par des entreprises principalement engagées dans des activités de recrutement, et autres types pertinents pour l'entreprise), de leur relation avec l'entreprise, et du type de travail qu'ils effectuent","Quels sont les types les plus courants de non-employés dans votre entreprise (par exemple, personnes indépendantes, personnes fournies par des entreprises principalement engagées dans des activités de recrutement, et autres types pertinents pour l'entreprise) ? Veuillez décrire leur relation avec l'entreprise et le type de travail qu'ils effectuent.",,narratif,
S1-7-55b,S1,S1-7,Caractéristiques des travailleurs non salariés faisant partie des effectifs de l'entreprise,55 b,,Description des méthodologies et hypothèses utilisées pour compiler les données (non-employés),Veuillez décrire les méthodologies et hypothèses utilisées pour compiler les données concernant les non-employés.,,narratif,
S1-7-55b(i),S1,S1-7,Caractéristiques des travailleurs non salariés faisant partie des effectifs de l'entreprise,55 b (i),,Les nombres de non-employés sont rapportés en effectif ou en équivalent temps plein,Les nombres de non-employés sont-ils rapportés en effectif ou en équivalent temps plein ?,,semi-narratif,
S1-7-55b(ii),S1,S1-7,Caractéristiques des travailleurs non salariés faisant partie des effectifs de l'entreprise,55 b (ii),,Les nombres de non-employés sont rapportés à la fin de la période de reporting/moyenne/autre méthodologie,"Les nombres de non-employés sont-ils rapportés à la fin de la période de reporting, en moyenne ou selon une autre méthodologie ?",,semi-narratif,
S1-7-55c,S1,S1-7,Caractéristiques des travailleurs non salariés faisant partie des effectifs de l'entreprise,55c,AR 64- AR 65,Divulgation des informations contextuelles nécessaires pour comprendre les données (travailleurs non-employés),Veuillez divulguer les informations contextuelles nécessaires pour comprendre les données concernant les travailleurs non-employés.,,narratif,Conditionnel
